gene	gene_name
ENSG00000004059.11	ARF5
ENSG00000003056.8	M6PR
ENSG00000173153.14	ESRRA
ENSG00000004478.8	FKBP4
ENSG00000003137.8	CYP26B1
ENSG00000003509.16	NDUFAF7
ENSG00000001036.13	FUCA2
ENSG00000003249.13	DBNDD1
ENSG00000002587.10	HS3ST1
ENSG00000001617.12	SEMA3F
ENSG00000001626.15	CFTR
ENSG00000001630.17	CYP51A1
ENSG00000048028.11	USP28
ENSG00000001460.18	STPG1
ENSG00000001461.17	NIPAL3
ENSG00000002933.9	TMEM176A
ENSG00000003989.17	SLC7A2
ENSG00000004776.13	HSPB6
ENSG00000005801.18	ZNF195
ENSG00000004799.8	PDK4
ENSG00000006606.8	CCL26
ENSG00000006611.16	USH1C
ENSG00000006451.8	RALA
ENSG00000075790.10	BCAP29
ENSG00000006453.14	BAIAP2L1
ENSG00000006116.3	CACNG3
ENSG00000006118.14	TMEM132A
ENSG00000004975.12	DVL2
ENSG00000006625.18	GGCT
ENSG00000005175.10	RPAP3
ENSG00000006652.14	IFRD1
ENSG00000007001.12	UPP2
ENSG00000007038.11	PRSS21
ENSG00000005073.5	HOXA11
ENSG00000006210.7	CX3CL1
ENSG00000186654.21	PRR5
ENSG00000007255.10	TRAPPC6A
ENSG00000006282.21	SPATA20
ENSG00000007306.15	CEACAM7
ENSG00000007312.12	CD79B
ENSG00000005486.17	RHBDD2
ENSG00000007376.8	RPUSD1
ENSG00000007520.4	TSR3
ENSG00000006025.12	AC003665.1
ENSG00000004777.18	ARHGAP33
ENSG00000004779.10	NDUFAB1
ENSG00000006047.13	YBX2
ENSG00000005882.11	PDK2
ENSG00000005884.18	ITGA3
ENSG00000006059.3	KRT33A
ENSG00000010626.15	LRRC23
ENSG00000008517.16	IL32
ENSG00000008197.4	TFAP2D
ENSG00000010072.16	SPRTN
ENSG00000008405.12	CRY1
ENSG00000008735.14	MAPK8IP2
ENSG00000008438.5	PGLYRP1
ENSG00000010270.13	STARD3NL
ENSG00000008118.10	CAMK1G
ENSG00000010278.14	CD9
ENSG00000019582.15	CD74
ENSG00000008988.9	RPS20
ENSG00000010219.13	DYRK4
ENSG00000009780.15	FAM76A
ENSG00000008394.13	MGST1
ENSG00000091704.10	CPA1
ENSG00000008282.8	SYPL1
ENSG00000010017.13	RANBP9
ENSG00000010610.10	CD4
ENSG00000008323.15	PLEKHG6
ENSG00000008324.11	SS18L2
ENSG00000048707.15	VPS13D
ENSG00000011105.14	TSPAN9
ENSG00000186115.13	CYP4F2
ENSG00000011478.12	QPCTL
ENSG00000010818.10	HIVEP2
ENSG00000011485.14	PPP5C
ENSG00000239672.7	NME1
ENSG00000012963.15	UBR7
ENSG00000012983.11	MAP4K5
ENSG00000241644.2	INMT
ENSG00000012061.15	ERCC1
ENSG00000011198.9	ABHD5
ENSG00000013588.8	GPRC5A
ENSG00000013583.10	HEBP1
ENSG00000013563.14	DNASE1L1
ENSG00000014919.12	COX15
ENSG00000071203.9	MS4A12
ENSG00000015568.13	RGPD5
ENSG00000015532.9	XYLT2
ENSG00000068438.15	FTSJ1
ENSG00000080293.9	SCTR
ENSG00000017797.13	RALBP1
ENSG00000059915.17	PSD
ENSG00000019505.8	SYT13
ENSG00000019549.13	SNAI2
ENSG00000078668.14	VDAC3
ENSG00000021488.13	SLC7A9
ENSG00000022355.17	GABRA1
ENSG00000022277.12	RTF2
ENSG00000022567.9	SLC45A4
ENSG00000023287.13	RB1CC1
ENSG00000023516.9	AKAP11
ENSG00000023734.11	STRAP
ENSG00000007541.16	PIGQ
ENSG00000079112.10	CDH17
ENSG00000026297.15	RNASET2
ENSG00000027847.14	B4GALT7
ENSG00000029364.12	SLC39A9
ENSG00000031003.10	FAM13B
ENSG00000031823.14	RANBP3
ENSG00000033100.16	CHPF2
ENSG00000034713.8	GABARAPL2
ENSG00000034971.17	MYOC
ENSG00000035141.8	FAM136A
ENSG00000035681.9	NSMAF
ENSG00000036473.8	OTC
ENSG00000052841.15	TTC17
ENSG00000037965.6	HOXC8
ENSG00000037757.14	MRI1
ENSG00000038219.13	BOD1L1
ENSG00000059588.10	TARBP1
ENSG00000039523.20	RIPOR1
ENSG00000039987.6	BEST2
ENSG00000040608.14	RTN4R
ENSG00000041357.16	PSMA4
ENSG00000042062.12	RIPOR3
ENSG00000042317.17	AL049834.1
ENSG00000042813.8	ZPBP
ENSG00000040531.14	CTNS
ENSG00000043462.12	LCP2
ENSG00000047932.14	GOPC
ENSG00000011465.17	DCN
ENSG00000048462.11	TNFRSF17
ENSG00000048544.6	MRPS10
ENSG00000287363.1	AL096814.2
ENSG00000030582.18	GRN
ENSG00000041988.15	THAP3
ENSG00000049245.13	VAMP3
ENSG00000049247.13	UTS2
ENSG00000049449.9	RCN1
ENSG00000049541.11	RFC2
ENSG00000049769.13	PPP1R3F
ENSG00000050030.15	NEXMIF
ENSG00000050327.15	ARHGEF5
ENSG00000050344.9	NFE2L3
ENSG00000050730.16	TNIP3
ENSG00000052723.11	SIKE1
ENSG00000038295.8	TLL1
ENSG00000054803.3	CBLN4
ENSG00000013297.11	CLDN11
ENSG00000054965.10	FAM168A
ENSG00000054967.13	RELT
ENSG00000004897.12	CDC27
ENSG00000057294.14	PKP2
ENSG00000196083.10	IL1RAP
ENSG00000058799.15	YIPF1
ENSG00000133597.11	ADCK2
ENSG00000040933.15	INPP4A
ENSG00000059804.16	SLC2A3
ENSG00000136960.12	ENPP2
ENSG00000060069.16	CTDP1
ENSG00000060140.9	STYK1
ENSG00000088256.9	GNA11
ENSG00000060566.14	CREB3L3
ENSG00000060642.10	PIGV
ENSG00000061273.18	HDAC7
ENSG00000061794.13	MRPS35
ENSG00000026950.17	BTN3A1
ENSG00000062725.10	APPBP2
ENSG00000063177.13	RPL18
ENSG00000063180.9	CA11
ENSG00000063241.8	ISOC2
ENSG00000063245.14	EPN1
ENSG00000012124.17	CD22
ENSG00000063515.2	GSC2
ENSG00000067646.12	ZFY
ENSG00000069998.12	HDHD5
ENSG00000053918.16	KCNQ1
ENSG00000070985.13	TRPM5
ENSG00000071575.11	TRIB2
ENSG00000068308.13	OTUD5
ENSG00000068394.11	GPKOW
ENSG00000021776.11	AQR
ENSG00000167759.13	KLK13
ENSG00000129437.10	KLK14
ENSG00000070526.15	ST6GALNAC1
ENSG00000071655.18	MBD3
ENSG00000071282.12	LMCD1
ENSG00000013275.7	PSMC4
ENSG00000073598.6	FNDC8
ENSG00000004660.14	CAMKK1
ENSG00000071859.15	FAM50A
ENSG00000072818.12	ACAP1
ENSG00000072849.11	DERL2
ENSG00000074771.3	NOX3
ENSG00000074855.11	ANO8
ENSG00000127663.15	KDM4B
ENSG00000073150.13	PANX2
ENSG00000076662.10	ICAM3
ENSG00000076826.9	CAMSAP3
ENSG00000077063.11	CTTNBP2
ENSG00000077080.9	ACTL6B
ENSG00000147724.12	FAM135B
ENSG00000079432.7	CIC
ENSG00000079616.12	KIF22
ENSG00000005001.10	PRSS22
ENSG00000079385.22	CEACAM1
ENSG00000047188.16	YTHDC2
ENSG00000064545.14	TMEM161A
ENSG00000050820.17	BCAR1
ENSG00000065970.9	FOXJ2
ENSG00000067182.7	TNFRSF1A
ENSG00000066455.13	GOLGA5
ENSG00000067365.14	METTL22
ENSG00000008300.17	CELSR3
ENSG00000068971.14	PPP2R5B
ENSG00000068976.14	PYGM
ENSG00000069399.15	BCL3
ENSG00000069424.15	KCNAB2
ENSG00000069943.10	PIGB
ENSG00000067840.12	PDZD4
ENSG00000185864.16	NPIPB4
ENSG00000071677.1	PRLH
ENSG00000068615.18	REEP1
ENSG00000070404.10	FSTL3
ENSG00000070886.12	EPHA8
ENSG00000071539.14	TRIP13
ENSG00000072682.18	P4HA2
ENSG00000071246.11	VASH1
ENSG00000071994.10	PDCD2
ENSG00000073350.13	LLGL2
ENSG00000186847.6	KRT14
ENSG00000171431.3	KRT20
ENSG00000074964.17	ARHGEF10L
ENSG00000072080.11	SPP2
ENSG00000072506.12	HSD17B10
ENSG00000075388.4	FGF4
ENSG00000076344.16	RGS11
ENSG00000077009.13	NMRK2
ENSG00000127241.16	MASP1
ENSG00000073849.15	ST6GAL1
ENSG00000075336.12	TIMM21
ENSG00000078898.7	BPIFB2
ENSG00000079313.15	REXO1
ENSG00000075975.16	MKRN2
ENSG00000076650.6	GPATCH1
ENSG00000077238.14	IL4R
ENSG00000079999.14	KEAP1
ENSG00000078589.13	P2RY10
ENSG00000079308.19	TNS1
ENSG00000064300.9	NGFR
ENSG00000183091.19	NEB
ENSG00000065320.9	NTN1
ENSG00000066583.12	ISOC1
ENSG00000067082.15	KLF6
ENSG00000067445.20	TRO
ENSG00000070444.15	MNT
ENSG00000070718.12	AP3M2
ENSG00000068697.7	LAPTM4A
ENSG00000069206.15	ADAM7
ENSG00000070669.17	ASNS
ENSG00000072135.13	PTPN18
ENSG00000069696.6	DRD4
ENSG00000070031.4	SCT
ENSG00000072210.18	ALDH3A2
ENSG00000072786.13	STK10
ENSG00000073331.18	ALPK1
ENSG00000073861.3	TBX21
ENSG00000074071.14	MRPS34
ENSG00000074410.14	CA12
ENSG00000137764.20	MAP2K5
ENSG00000078237.7	TIGAR
ENSG00000078579.9	FGF20
ENSG00000003987.14	MTMR7
ENSG00000080618.16	CPB2
ENSG00000065809.13	FAM107B
ENSG00000065883.16	CDK13
ENSG00000064201.15	TSPAN32
ENSG00000064763.11	FAR2
ENSG00000065308.5	TRAM2
ENSG00000066405.13	CLDN18
ENSG00000065371.17	ROPN1
ENSG00000065518.8	NDUFB4
ENSG00000068097.14	HEATR6
ENSG00000068912.14	ERLEC1
ENSG00000112782.17	CLIC5
ENSG00000075568.17	TMEM131
ENSG00000172995.16	ARPP21
ENSG00000007129.18	CEACAM21
ENSG00000072954.7	TMEM38A
ENSG00000073008.15	PVR
ENSG00000159885.14	ZNF222
ENSG00000170848.15	PSG6
ENSG00000075089.9	ACTR6
ENSG00000075415.12	SLC25A3
ENSG00000012504.15	NR1H4
ENSG00000078098.14	FAP
ENSG00000077150.20	NFKB2
ENSG00000030304.13	MUSK
ENSG00000064218.5	DMRT3
ENSG00000079156.17	OSBPL6
ENSG00000064205.10	CCN5
ENSG00000064601.18	CTSA
ENSG00000134461.16	ANKRD16
ENSG00000154252.11	GAL3ST2
ENSG00000065060.17	UHRF1BP1
ENSG00000081087.15	OSTM1
ENSG00000081148.12	IMPG2
ENSG00000072110.13	ACTN1
ENSG00000249437.7	NAIP
ENSG00000081791.9	DELE1
ENSG00000081800.9	SLC13A1
ENSG00000081818.3	PCDHB4
ENSG00000112852.6	PCDHB2
ENSG00000081870.11	HSPB11
ENSG00000082146.13	STRADB
ENSG00000082269.16	FAM135A
ENSG00000082458.12	DLG3
ENSG00000082684.15	SEMA5B
ENSG00000065609.14	SNAP91
ENSG00000083444.17	PLOD1
ENSG00000083544.14	TDRD3
ENSG00000083720.13	OXCT1
ENSG00000083812.12	ZNF324
ENSG00000083817.9	ZNF416
ENSG00000083845.9	RPS5
ENSG00000084444.14	FAM234B
ENSG00000085514.16	PILRA
ENSG00000085721.12	RRN3
ENSG00000166391.15	MOGAT2
ENSG00000085872.15	CHERP
ENSG00000167580.7	AQP2
ENSG00000086189.10	DIMT1
ENSG00000086232.13	EIF2AK1
ENSG00000086288.11	NME8
ENSG00000086289.12	EPDR1
ENSG00000086504.16	MRPL28
ENSG00000086506.3	HBQ1
ENSG00000086548.9	CEACAM6
ENSG00000086589.12	RBM22
ENSG00000086696.11	HSD17B2
ENSG00000078018.19	MAP2
ENSG00000086827.9	ZW10
ENSG00000132470.14	ITGB4
ENSG00000087074.8	PPP1R15A
ENSG00000087077.14	TRIP6
ENSG00000073670.14	ADAM11
ENSG00000005893.15	LAMP2
ENSG00000197208.6	SLC22A4
ENSG00000087237.12	CETP
ENSG00000087250.8	MT3
ENSG00000087494.15	PTHLH
ENSG00000087510.7	TFAP2C
ENSG00000088002.11	SULT2B1
ENSG00000131037.15	EPS8L1
ENSG00000182389.19	CACNB4
ENSG00000197183.14	NOL4L
ENSG00000088305.18	DNMT3B
ENSG00000088320.4	REM1
ENSG00000088356.6	PDRG1
ENSG00000088367.22	EPB41L1
ENSG00000088808.17	PPP1R13B
ENSG00000166948.9	TGM6
ENSG00000188559.15	RALGAPA2
ENSG00000089009.15	AC004086.1
ENSG00000089048.14	ESF1
ENSG00000089060.11	SLC8B1
ENSG00000089063.15	TMEM230
ENSG00000089127.13	AC004551.1
ENSG00000089163.4	SIRT4
ENSG00000089195.15	TRMT6
ENSG00000249115.9	HAUS5
ENSG00000010256.11	UQCRC1
ENSG00000089639.11	GMIP
ENSG00000089692.9	LAG3
ENSG00000089693.10	MLF2
ENSG00000089723.10	OTUB2
ENSG00000090006.17	LTBP4
ENSG00000090447.12	TFAP4
ENSG00000090470.15	PDCD7
ENSG00000090487.11	SPG21
ENSG00000090539.15	CHRD
ENSG00000090554.13	FLT3LG
ENSG00000090581.10	GNPTG
ENSG00000090615.15	GOLGA3
ENSG00000090659.18	CD209
ENSG00000090776.6	EFNB1
ENSG00000090863.11	GLG1
ENSG00000090924.15	PLEKHG2
ENSG00000090932.10	DLL3
ENSG00000090971.5	NAT14
ENSG00000157426.14	AASDH
ENSG00000091128.13	LAMB4
ENSG00000091140.14	DLD
ENSG00000091262.15	ABCC6
ENSG00000091317.8	CMTM6
ENSG00000091583.11	APOH
ENSG00000091640.8	SPAG7
ENSG00000091831.23	ESR1
ENSG00000091844.8	RGS17
ENSG00000091947.10	TMEM101
ENSG00000091986.15	CCDC80
ENSG00000092009.10	CMA1
ENSG00000092010.15	PSME1
ENSG00000092036.18	HAUS4
ENSG00000092067.5	CEBPE
ENSG00000092094.11	OSGEP
ENSG00000092096.16	SLC22A17
